#Mini MPD Rad MJ_2M MH_2M MK_2M MZ087 MW146 MF213 MHw JH JKs HKs medianJ medianH medianKs sigmaJ sigmaH sigmaKs maxJ maxH maxKs minJ minH minKs medianJH medianJKs medianHKs sigmaJH sigmaJKs sigmaHKs maxJH maxJKs maxHKs minJH minJKs minHKs counts
0.92  0.919  1.038  3.517  3.21  3.163  3.902  3.486  3.166  3.447  0.307  0.354  0.047  -2.001  -2.473  -2.556  2.189  2.319  2.348  2.161  1.882  1.826  -5.399  -6.321  -6.582  0.494  0.576  0.083  0.145  0.183  0.039  0.78  0.943  0.17  0.178  0.2  0.022  421.0
0.937  0.936  1.097  3.381  3.082  3.037  3.758  3.351  3.039  3.313  0.299  0.344  0.045  -0.963  -1.378  -1.444  1.957  2.085  2.116  2.456  2.167  2.127  -5.31  -6.2  -6.421  0.425  0.495  0.069  0.151  0.188  0.038  0.807  0.977  0.169  0.243  0.273  0.03  290.0
0.944  0.943  1.121  3.323  3.027  2.983  3.697  3.295  2.986  3.256  0.296  0.34  0.044  -0.98  -1.394  -1.459  2.248  2.4  2.443  2.512  2.261  2.229  -5.309  -6.198  -6.418  0.447  0.515  0.069  0.174  0.224  0.052  0.857  1.079  0.222  0.241  0.27  0.029  276.0
0.956  0.955  1.171  3.223  2.931  2.888  3.594  3.196  2.89  3.157  0.292  0.335  0.043  -1.596  -2.141  -2.232  2.227  2.387  2.444  2.888  2.609  2.569  -5.371  -6.28  -6.577  0.58  0.668  0.088  0.169  0.233  0.067  0.895  1.166  0.27  0.235  0.263  0.028  228.0
0.967  0.966  1.223  3.123  2.834  2.792  3.491  3.097  2.794  3.058  0.289  0.331  0.042  -2.107  -2.706  -2.799  2.126  2.295  2.358  1.927  1.492  1.425  -5.405  -6.326  -6.633  0.59  0.682  0.093  0.179  0.249  0.072  0.902  1.171  0.271  0.256  0.291  0.035  247.0
0.97  0.969  1.24  3.09  2.802  2.76  3.457  3.064  2.762  3.025  0.288  0.33  0.042  -2.287  -2.871  -2.954  2.322  2.484  2.536  2.502  2.248  2.214  -5.493  -6.423  -6.722  0.59  0.682  0.092  0.17  0.229  0.062  0.882  1.126  0.242  0.249  0.281  0.032  237.0
0.976  0.975  1.271  3.034  2.746  2.704  3.4  3.007  2.706  2.969  0.288  0.33  0.042  -1.08  -1.532  -1.608  2.24  2.405  2.46  2.466  2.19  2.157  -5.492  -6.421  -6.719  0.516  0.593  0.077  0.176  0.237  0.064  0.868  1.106  0.24  0.246  0.277  0.031  190.0
0.985  0.984  1.33  2.934  2.647  2.605  3.3  2.908  2.607  2.869  0.287  0.329  0.042  -1.5  -2.078  -2.166  2.361  2.531  2.6  2.786  2.511  2.472  -5.466  -6.409  -6.73  0.586  0.674  0.089  0.175  0.251  0.079  0.925  1.219  0.295  0.263  0.299  0.036  146.0
0.993  0.992  1.393  2.839  2.55  2.508  3.206  2.812  2.51  2.774  0.289  0.331  0.042  -2.173  -2.815  -2.926  2.294  2.462  2.548  2.588  2.322  2.284  -5.713  -6.648  -7.043  0.638  0.753  0.113  0.172  0.264  0.097  0.926  1.287  0.361  0.26  0.297  0.037  216.0
0.995  0.994  1.41  2.813  2.524  2.482  3.181  2.787  2.484  2.748  0.289  0.331  0.042  -1.019  -1.505  -1.584  2.264  2.432  2.499  2.187  1.785  1.723  -5.609  -6.53  -6.878  0.534  0.618  0.084  0.178  0.25  0.075  0.898  1.166  0.28  0.252  0.286  0.034  174.0
1.002  1.001  1.473  2.725  2.433  2.39  3.096  2.697  2.392  2.659  0.292  0.335  0.043  -0.976  -1.501  -1.576  2.416  2.592  2.66  2.676  2.372  2.327  -5.607  -6.527  -6.875  0.534  0.621  0.086  0.181  0.254  0.077  0.898  1.166  0.282  0.253  0.288  0.035  151.0
1.004  1.003  1.495  2.698  2.404  2.361  3.071  2.67  2.363  2.631  0.294  0.337  0.043  -1.014  -1.522  -1.597  2.097  2.25  2.313  2.48  2.214  2.176  -5.505  -6.45  -6.773  0.547  0.633  0.086  0.162  0.23  0.071  0.919  1.205  0.286  0.263  0.3  0.037  179.0
1.012  1.01  1.595  2.582  2.279  2.233  2.965  2.552  2.235  2.513  0.303  0.349  0.046  -2.275  -2.921  -3.045  2.195  2.365  2.459  1.718  1.245  1.173  -5.797  -6.737  -7.141  0.641  0.767  0.122  0.176  0.276  0.103  0.936  1.291  0.363  0.276  0.315  0.039  207.0
